"PERCENT OF U.S. STUDY ABROAD STUDENTS BY FIELD OF STUDY, 2000/01 - 2019/20",,,,,,,,,,,,,,,,,,,,
Field of Study,U.S. STUDY ABROAD STUDENTS (%),,,,,,,,,,,,,,,,,,,
,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
,,,,,,,,,,,,,,,,,,,,
STEM Fields*,16.6,16.8,17.0,16.2,16.3,16.4,17.5,17.6,17.7,18.9,19.8,21.1,22.5,22.6,23.9,25.2,25.8,25.6,26.8,24.5
     Physical or Life Sciences,7.1,7.6,7.1,7.1,7.1,6.9,7.3,7.2,7.3,7.5,7.9,8.6,8.8,8.0,8.1,8.1,8.0,7.8,8.1,7.4
     Health Professions,3.2,3.0,3.1,3.4,3.4,3.8,4.1,4.5,4.5,4.7,5.3,5.7,6.4,6.0,6.3,7.1,7.1,6.9,7.1,6.0
     Engineering,2.7,2.9,2.9,2.9,2.9,2.9,3.1,3.1,3.2,3.9,3.5,3.9,4.1,4.6,5.0,5.1,5.3,5.2,5.5,4.3
     Math or Computer Science,2.0,2.2,2.4,1.7,1.7,1.5,1.5,1.6,1.6,1.5,1.8,1.7,1.9,2.1,2.2,2.4,2.8,2.9,3.2,3.8
     Agriculture,1.6,1.1,1.5,1.2,1.2,1.3,1.5,1.2,1.1,1.3,1.3,1.2,1.3,1.9,2.3,2.5,2.5,2.7,2.9,3.0
Business & Management,18.1,17.6,17.7,17.5,17.5,17.7,19.1,20.2,19.5,20.8,20.5,20.5,20.4,19.6,20.1,20.9,20.7,20.8,20.7,20.8
Social Sciences**,20.3,21.9,21.3,22.6,22.6,21.7,21.4,21.5,20.7,22.3,22.9,22.4,22.1,18.7,17.3,17.1,17.2,17.1,17.0,19.2
Foreign Language and International Studies***,-,-,-,-,-,-,-,-,-,-,-,-,-,7.8,7.7,7.4,7.3,7.1,6.9,7.8
Fine and Applied Arts,8.5,8.5,9.0,7.6,7.6,7.5,7.7,8.4,7.3,8.3,8.2,7.8,7.8,7.0,6.9,6.9,6.3,6.8,6.9,6.9
Communications and Journalism***,-,-,-,-,-,-,-,-,-,-,-,-,-,5.6,5.8,5.7,5.6,5.5,5.4,6.1
Humanities**,14.5,13.8,13.3,13.3,13.3,14.2,13.2,13.3,12.3,12.1,11.3,10.8,10.4,4.1,3.8,3.7,3.6,3.6,3.3,3.7
Education,4.4,3.9,4.1,4.1,4.1,4.1,4.2,4.1,4.0,4.1,4.2,4.1,4.0,3.7,3.5,3.4,3.3,3.3,3.1,2.4
Legal Studies and Law Enforcement***,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.6,1.5,1.6,1.5,1.6,1.4
Foreign Languages***,8.2,8.5,7.9,7.5,7.5,7.8,7.2,6.2,6.1,5.8,5.6,5.3,4.9,-,-,-,-,-,-,-
Other Fields of Study,4.9,5.2,6.4,7.8,7.8,7.2,6.6,5.4,8.9,3.2,4.8,5.0,5.2,6.7,6.8,6.5,6.8,6.7,6.8,6.2
Undeclared,4.5,3.8,3.5,3.4,3.4,3.4,3.1,3.3,3.5,4.5,2.7,3.0,2.7,2.6,2.6,1.9,1.9,1.9,1.6,1.1
,,,,,,,,,,,,,,,,,,,,
Total,"154,168","160,920","174,629","191,321","205,983","223,534","241,791","262,416","260,327","270,604","273,996","283,332","289,408","304,467","313,415","325,339","332,727","341,751","347,099","162,633"
,,,,,,,,,,,,,,,,,,,,
Note: Historical data may not always sum to totals.,,,,,,,,,,,,,,,,,,,,
Note: Percent distributions may not sum to 100.0 because of rounding. ,,,,,,,,,,,,,,,,,,,,
Note: Dash symbol (-) indicates no data available.,,,,,,,,,,,,,,,,,,,,
"Note: All broad field of study categories are based on Open Doors 2021 classifications, which may not match data in historical publications.",,,,,,,,,,,,,,,,,,,,
"Note: The fields of study used in the Open Doors 2021 report are from Classification of Instructional Programs, 2020 Edition, published by the National Center for Education Statistics (NCES) of the U.S. Department of Education.",,,,,,,,,,,,,,,,,,,,
"Note: Prior to Open Doors 2021 The fields of study used were from Classification of Instructional Programs, 2010 Edition, published by the National Center for Education Statistics (NCES) of the U.S. Department of Education.",,,,,,,,,,,,,,,,,,,,
"* Science, Technology, Engineering, and Math",,,,,,,,,,,,,,,,,,,,
Notes on historical names and classifications:,,,,,,,,,,,,,,,,,,,,
"** Beginning in 2013/14, changes were made in the classification of fields of study reported in the Open Doors U.S. Study Abroad Survey. Figures reported from 2013/14 onward are not entirely comparable to prior years.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"*** Beginning in 2013/14, Communications and Journalism  and Legal Studies & Law Enforcement were reported separately; and Foreign Language was merged with International Studies.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Suggested citation: Institute of International Education. (2021). ""Percent of U.S. Study Abroad Students by Field of Study, 2000/01 - 2019/20"" Open Doors Report on International Educational Exchange. Retrieved from https://opendoorsdata.org/.",,,,,,,,,,,,,,,,,,,,
