2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,2018/19,,,,,,2019/20,,,
Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Institutions,City,State,Total Study Abroad Students
1,Saint Olaf College,Northfield,MN,672,,1,Saint Olaf College,Northfield,MN,678,,1,Saint Olaf College,Northfield,MN,739,,1,Saint Olaf College,Northfield,MN,684,,1,Saint Olaf College,Northfield,MN,653,,1,St. Olaf College,Northfield,MN,633,,1,St. Olaf College,Northfield,MN,624,,1,St. Olaf College,Northfield,MN,691,,1,St. Olaf College,Northfield,MN,696,,Massachusetts Maritime Academy,Buzzards Bay,MA,637
2,Calvin College,Grand Rapids,MI,575,,2,University of Richmond,Richmond,VA,654,,2,University of Richmond,Richmond,VA,605,,2,Calvin College,Grand Rapids,MI,601,,2,University of Richmond,Richmond,VA,577,,2,University of Richmond,Richmond,VA,615,,2,University of Richmond,Richmond,VA,605,,2,University of Richmond,Richmond,VA,630,,2,University of Richmond,Richmond,VA,589,,St. Olaf College,Northfield,MN,495
3,Oberlin College,Oberlin,OH,561,,3,Calvin College,Grand Rapids,MI,634,,3,College of Saint Benedict/Saint John's University,St. Joseph,MN,563,,3,University of Richmond,Richmond,VA,582,,3,Calvin College,Grand Rapids,MI,524,,3,Calvin College,Grand Rapids,MI,607,,3,College of Saint Benedict/Saint John's University,Collegeville,MN,555,,3,Furman University,Greenville,SC,504,,3,Eckerd College,St. Petersburg,FL,537,,Eckerd College,St. Petersburg,FL,485
4,College of Saint Benedict/Saint John's University,St. Joseph,MN,531,,4,College of Saint Benedict/Saint John's University,St. Joseph,MN,546,,4,Calvin College,Grand Rapids,MI,542,,4,DePauw University,Greencastle,IN,520,,3,College of Saint Benedict/Saint John's University,Collegeville,MN,524,,4,College of Saint Benedict/Saint John's University,Collegeville,MN,553,,4,Colorado College,Colorado Springs,CO,513,,4,DePauw University,Greencastle,IN,489,,4,Colorado College,Colorado Springs,CO,523,,DePauw University,Greencastle,IN,466
5,Taylor University,Upland,IN,517,,5,Oberlin College,Oberlin,OH,532,,5,DePauw University,Greencastle,IN,492,,5,College of Saint Benedict/Saint John's University,Collegeville,MN,515,,5,Oberlin College,Oberlin,OH,492,,5,DePauw University,Greencastle,IN,468,,5,Taylor University,Upland,IN,510,,5,Eckerd College,St. Petersburg,FL,483,,5,Susquehanna University,Selinsgrove,PA,518,,Colby College,Waterville,ME,433
6,Bucknell University,Lewisburg,PA,504,,6,Taylor University,Upland,IN,518,,6,Colgate University,Hamilton,NY,481,,6,Colgate University,Hamilton,NY,497,,6,DePauw University,Greencastle,IN,491,,6,Bucknell University,Lewisburg,PA,462,,6,Eckerd College,St. Petersburg,FL,498,,6,Colorado College,Colorado Springs,CO,473,,6,DePauw University,Greencastle,IN,516,,Middlebury College,Middlebury,VT,413
7,Luther College,Decorah,IA,484,,7,DePauw University,Greencastle,IN,507,,7,Bucknell University,Lewisburg,PA,474,,7,Taylor University,Upland,IN,496,,7,Luther College,Decorah,IA,449,,7,Oberlin College,Oberlin,OH,456,,7,DePauw University,Greencastle,IN,494,,7,Bucknell University,Lewisburg,PA,472,,7,Furman University,Greenville,SC,515,,Wofford College,Spartanburg,SC,409
8,DePauw University,Greencastle,IN,471,,8,Colorado College,Colorado Springs,CO,500,,8,Colorado College,Colorado Springs,CO,466,,8,Luther College,Decorah,IA,455,,8,Taylor University,Upland,IN,443,,7,Colorado College,Colorado Springs,CO,456,,8,Calvin College,Grand Rapids,MI,467,,8,Susquehanna University,Selinsgrove,PA,455,,8,Bucknell University,Lewisburg,PA,497,,Taylor University,Upland,IN,401
9,Colorado College,Colorado Springs,CO,468,,9,Colby College,Waterville,ME,432,,9,Taylor University,Upland,IN,463,,9,Oberlin College,Oberlin,OH,454,,9,Colgate University,Hamilton,NY,441,,9,Taylor University,Upland,IN,453,,9,Susquehanna University,Selinsgrove,PA,456,,9,Colgate University,Hamilton,NY,449,,9,College of Saint Benedict/Saint John's University,Collegeville,MN,494,,Colgate University,Hamilton,NY,399
10,University of Richmond,Richmond,VA,458,,10,Bucknell University,Lewisburg,PA,428,,10,Skidmore College,Saratoga Sprngs,NY,457,,10,Colorado College,Colorado Springs,CO,440,,10,Bucknell University,Lewisburg,PA,433,,10,Eckerd College,St. Petersburg,FL,444,,10,Oberlin College,Oberlin,OH,441,,10,College of Saint Benedict/Saint John's University,Collegeville,MN,443,,10,Colgate University,Hamilton,NY,485,,College of Saint Benedict/Saint John's University,Collegeville,MN,394
11,Colby College,Waterville,ME,432,,11,Colgate University,Hamilton,NY,409,,11,Babson College,Babson Park,MA,448,,11,Carthage College,Kenosha,WI,438,,11,Susquehanna University,Selinsgrove,PA,425,,11,Wofford College,Spartanburg,SC,419,,11,Colgate University,Hamilton,NY,433,,11,Wofford College,Spartanburg,SC,418,,11,Middlebury College,Middlebury,VT,424,,University of Richmond,Richmond,VA,377
12,Skidmore College,Saratoga Sprngs,NY,428,,12,Messiah College,Grantham,PA,392,,12,Susquehanna University,Selinsgrove,PA,445,,12,Susquehanna University,Selinsgrove,PA,434,,12,Colorado College,Colorado Springs,CO,417,,12,Colgate University,Hamilton,NY,418,,12,Carthage College,Kenosha,WI,404,,12,Carthage College,Kenosha,WI,415,,12,Carthage College,Kenosha,WI,408,,Centre College,Danville,KY,373
13,Colgate University,Hamilton,NY,422,,13,Carleton College,Northfield,MN,390,,13,Lafayette College,Easton,PA,432,,13,Bucknell University,Lewisburg,PA,416,,13,Eckerd College,St. Petersburg,FL,396,,13,Susquehanna University,Selinsgrove,PA,402,,13,Bucknell University,Lewisburg,PA,403,,13,Dickinson College,Carlisle,PA,403,,13,Wofford College,Spartanburg,SC,406,,Gettysburg College,Gettysburg,PA,359
14,Messiah College,Grantham,PA,396,,14,Middlebury College,Middlebury,VT,385,,14,Oberlin College,Oberlin,OH,431,,14,Saint Lawrence University,Canton,NY,406,,14,Saint Lawrence University,Canton,NY,392,,14,Carthage College,Kenosha,WI,388,,14,Centre College,Danville,KY,395,,14,Taylor University,Upland,IN,400,,13,Luther College,Decorah,IA,406,,Bucknell University,Lewisburg,PA,326
15,Lafayette College,Easton,PA,395,,15,Susquehanna University,Selinsgrove,PA,380,,15,Carleton College,Northfield,MN,422,,15,Eckerd College,St. Petersburg,FL,398,,15,Centre College,Danville,KY,379,,15,Middlebury College,Middlebury,VT,382,,15,Carleton College,Northfield,MN,387,,15,Centre College,Danville,KY,398,,15,Spelman College,Atlanta,GA,400,,Saint Lawrence University,Canton,NY,317
16,Wofford College,Spartanburg,SC,384,,16,Centre College,Danville,KY,372,,16,Colby College,Waterville,ME,400,,16,Colby College,Waterville,ME,396,,16,Colby College,Waterville,ME,374,,15,Saint Lawrence University,Canton,NY,382,,16,Furman University,Greenville,SC,379,,16,Middlebury College,Middlebury,VT,388,,16,Carleton College,Northfield,MN,398,,Susquehanna University,Selinsgrove,PA,305
17,Middlebury College,Middlebury,VT,371,,17,Luther College,Decorah,IA,371,,17,Wofford College,Spartanburg,SC,390,,17,Middlebury College,Middlebury,VT,391,,17,Wellesley College,Wellesley,MA,373,,17,Luther College,Decorah,IA,372,,17,Skidmore College,Saratoga Springs,NY,371,,17,Spelman College,Atlanta,GA,362,,17,Taylor University,Upland,IN,388,,Skidmore College,Saratoga Springs,NY,298
18,Carleton College,Northfield,MN,363,,17,Gustavus Adolphus College,St. Peter,MN,371,,18,Eckerd College,St. Petersburg,FL,381,,18,Messiah College,Mechanicsburg,PA,389,,18,Carleton College,Northfield,MN,369,,18,Furman University,Greenville,SC,371,,18,Spelman College,Atlanta,GA,368,,18,Luther College,Decorah,IA,353,,18,Davidson College,Davidson,NC,386,,Williams College,Williamstown,MA,286
19,Centre College,Danville,KY,361,,19,Eckerd College,St. Petersburg,FL,370,,19,Centre College,Danville,KY,379,,19,Lafayette College,Easton,PA,383,,18,Lafayette College,Easton,PA,369,,19,Dickinson College,Carlisle,PA,369,,19,Messiah College,Mechanicsburg,PA,363,,19,Saint Lawrence University,Canton,NY,352,,19,Centre College,Danville,KY,383,,Carthage College,Kenosha,WI,284
